,Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Workforce Ratio Five Year Average,Workforce Ratio Five Year Median,Workforce Ratio Five Year Max,Workforce Ratio Five Year Min,Workforce Ratio Five Year STD
216,South Africa,77.6986792,77.56256836,78.56385078,78.85224995,79.06102117,78.347673892,78.56385078,79.06102117,77.56256836,0.6796650996747173
217,South Asia,31.09062559,30.95844114,31.10063853,30.94951687,30.88211806,30.996268038,30.95844114,31.10063853,30.88211806,0.09545065560123428
218,South Asia (IDA & IBRD),31.09062559,30.95844114,31.10063853,30.94951687,30.88211806,30.996268038,30.95844114,31.10063853,30.88211806,0.09545065560123428
219,South Sudan,94.77762496,95.1334036,95.50684402,95.91961102,96.1074309,95.4889829,95.50684402,96.1074309,94.77762496,0.5478832638975047
220,Spain,81.30642062,81.85182597,81.65729954,81.48601056,81.74967277,81.610245892,81.65729954,81.85182597,81.30642062,0.216655860645659
221,Sri Lanka,47.12840521,46.99558157,47.18601653,47.52153968,47.50643428,47.267595454,47.18601653,47.52153968,46.99558157,0.23534668718633986
223,St. Lucia,77.72446147,78.43134576,79.04701427,79.06022076,79.38372287,78.729353026,79.04701427,79.38372287,77.72446147,0.6590139198050794
225,St. Vincent and the Grenadines,68.87972221,69.38941282,69.75167272,70.36739446,70.58953195,69.795546832,69.75167272,70.58953195,68.87972221,0.7005402538261346
226,Sub-Saharan Africa,84.59232277,84.78955925,85.14167835,85.50917627,85.49451551,85.10545042999999,85.14167835,85.50917627,84.59232277,0.4119362467680865
227,Sub-Saharan Africa (excluding high income),84.62790149,84.82571209,85.17733013,85.54308149,85.52710161,85.140225362,85.17733013,85.54308149,84.62790149,0.4107120046417173
228,Sub-Saharan Africa (IDA & IBRD),84.59232277,84.78955925,85.14167835,85.50917627,85.49451551,85.10545042999999,85.14167835,85.50917627,84.59232277,0.4119362467680865
229,Sudan,41.261449,41.68723383,42.1414394,42.61865296,42.67489954,42.076734946,42.1414394,42.67489954,41.261449,0.606643423868315
230,Suriname,61.36487221,59.99658079,60.20236773,60.48548609,60.86730979,60.583323322,60.48548609,61.36487221,59.99658079,0.5455348440384936
231,Sweden,90.0959197,90.0593298,90.12015256,90.42869843,90.58229779,90.257279656,90.12015256,90.58229779,90.0593298,0.23401186126809986
232,Switzerland,84.08067844,84.51378229,84.24961964,85.03587765,85.28893511,84.63377862600001,84.51378229,85.28893511,84.08067844,0.5144926400251509
233,Syrian Arab Republic,19.19977086,19.3485765,19.53301578,19.65795861,19.49027841,19.445920032,19.49027841,19.65795861,19.19977086,0.17647866137103727
234,Tajikistan,59.31825378,60.84553277,60.01678563,59.2895502,59.2118723,59.736398936,59.31825378,60.84553277,59.2118723,0.6997217154198377
235,Tanzania,90.80436394,90.92306777,91.05671775,91.20832999,91.10009936,91.018515762,91.05671775,91.20832999,90.80436394,0.1574134989000015
236,Thailand,78.38839248,78.26789975,77.93119044,77.88315972,77.81282773,78.056694024,77.93119044,78.38839248,77.81282773,0.2549351868705432
237,Timor-Leste,85.11671108,85.09164649,84.9139562,84.96045135,85.09508862,85.035570748,85.09164649,85.11671108,84.9139562,0.09179275794753092
238,Togo,95.90634246,96.19011222,96.51173259,96.8930154,96.63145246,96.42653102599999,96.51173259,96.8930154,95.90634246,0.38514600083423794
239,Tonga,61.15016919,61.33081377,61.44894105,61.46630187,61.52656248,61.38455767200001,61.44894105,61.52656248,61.15016919,0.1490126389445896
240,Trinidad and Tobago,69.39386509,71.4421502,70.95315869,70.99347706,71.27379576,70.81128936,70.99347706,71.4421502,69.39386509,0.8176656400230813
241,Tunisia,35.16991441,34.85040885,34.58770387,34.37159011,34.24452478,34.644828403999995,34.58770387,35.16991441,34.24452478,0.37287531513726885
242,Turkey,43.90774794,45.06146889,46.19719195,46.84582834,46.85890003,45.774227429999996,46.19719195,46.85890003,43.90774794,1.2743147734778877
243,Turkmenistan,66.07223059,65.95000772,65.85521672,65.7817163,65.64132017,65.8600983,65.85521672,66.07223059,65.64132017,0.16364233115164287
246,Uganda,88.48088793,89.0538078,89.68864541,90.4228131,90.6346008,89.656151008,89.68864541,90.6346008,88.48088793,0.9069524915437654
247,Ukraine,74.49029284,74.24965481,74.15882687,74.17297073,74.06726017,74.22780108399999,74.17297073,74.49029284,74.06726017,0.16040316572053923
248,United Arab Emirates,53.44969598,54.71591631,56.20980888,56.08561959,56.09975358,55.312158868,56.08561959,56.20980888,53.44969598,1.2091934977536059
249,United Kingdom,83.00049819,83.35260884,84.21749919,84.49029805,84.63808375,83.939797604,84.21749919,84.63808375,83.00049819,0.7236792257826062
250,United States,81.61460167,81.69166707,82.24256893,82.36556922,82.3130876,82.045498898,82.24256893,82.36556922,81.61460167,0.36185449616510984
251,Upper middle income,73.85072083,73.85904915,73.87301151,73.85709893,73.62493705,73.812963494,73.85709893,73.87301151,73.62493705,0.10542431964506518
252,Uruguay,74.15261368,75.2545877,75.4317143,75.65114286,75.79919326,75.25785035999999,75.4317143,75.79919326,74.15261368,0.6518279219503921
253,Uzbekistan,67.53797134,67.40036701,67.29183927,67.18430089,67.0541383,67.293723362,67.29183927,67.53797134,67.0541383,0.18735512505041788
254,Vanuatu,77.15917514,77.24641736,77.29779527,77.33960978,77.37398948,77.28339740599999,77.29779527,77.37398948,77.15917514,0.08422106108693635
255,"Venezuela, RB",64.08226026,62.71000361,61.71217759,60.59862092,60.70565048,61.961742572000006,61.71217759,64.08226026,60.59862092,1.4624158529712479
256,Vietnam,87.98717441,88.24981671,88.18168648,88.221322,88.27750458,88.18350083600001,88.221322,88.27750458,87.98717441,0.1153389536435405
257,Virgin Islands (U.S.),91.63761206,92.27089873,92.41459863,92.82183403,93.02896172,92.434781034,92.41459863,93.02896172,91.63761206,0.5398156679441133
258,West Bank and Gaza,25.46689788,24.6505407,24.90464755,25.25180867,25.45865343,25.146509646,25.25180867,25.46689788,24.6505407,0.3590448146501677
259,World,66.51868098,66.57582315,66.66483833,66.76511409,66.62200058,66.62929142600001,66.62200058,66.76511409,66.51868098,0.09335156958799272
260,"Yemen, Rep.",8.827057212,8.680857367,8.59248135,8.530670684,8.312554639,8.5887242504,8.59248135,8.827057212,8.312554639,0.19035827956083667
261,Zambia,87.43900895,87.83361681,88.31380904,88.8465237,88.99034593,88.28466088600001,88.31380904,88.99034593,87.43900895,0.6582360468172005
262,Zimbabwe,87.29770211,87.27376724,87.40080163,87.64042527,87.76646043,87.475831336,87.40080163,87.76646043,87.27376724,0.21779911054625226
